䈰		shao1	/pot-scrubbing brush made of bamboo strips/basket (container) for chopsticks/variant of 筲[shao1]/
䊀		hu2	/variant of 糊[hu2]/
䍃		yao2	/(archaic) vase/pitcher/
䍹		shan1	/variant of 羶[shan1]/
䒗		qi4	/old variant of 芞[qi4]/
䔢		hua2	/old variant of 華|华[hua2]/
䕭		qian2	/a variety of grass/nettle/
䕭		xian2	/a kind of vegetable/
䖟		meng2	/old variant of 虻[meng2]/
䖸		e2	/variant of 蛾[e2]/
䗈		meng2	/old variant of 虻[meng2]/
䗥		zong1	/see 螉䗥[weng1 zong1]/
䗪		zhe4	/Chinese ground beetle (Eupolyphaga sinensis)/
䗬		feng1	/variant of 蜂[feng1]/
䗶		la4	/old variant of 蠟|蜡[la4]/
䘏		xu4	/variant of 恤[xu4]/
䘑		mai4	/old variant of 脈|脉[mai4]/
䘚		zu2	/variant of 卒[zu2]/
䛐		ci2	/old variant of 詞|词[ci2]/
䛟		jia2	/variant of 唊[jia2]/
䝓		lie4	/old variant of 鬣[lie4]/
䝔		huan1	/variant of 獾[huan1]/
䞓		cheng1	/old variant of 赬|赪[cheng1]/
䟆		bi4	/old variant of 蹕|跸[bi4]/
䟖		zhi3	/erroneous variant of 趾[zhi3]/
䠀		chang3	/to squat/to sit/
䠀		tang1	/old variant of 趟[tang1]/
䠞		cu4	/variant of 蹙[cu4]/
䠶		she4	/old variant of 射[she4]/
䤈		xi1	/old variant of 醯[xi1]/
䥑		mai4	/meitnerium (chemistry)/
䥥		lian2	/old variant of 鐮|镰[lian2]/
䥯		ba4	/plow/
䦉		si4	/variant of 肆[si4]/
䦕		peng1	/variant of 閛[peng1]/
䩦		tiao2	/variant of 鞗[tiao2]/
䫏		qi1	/mask of a god used in ceremonies to exorcise demons and drive away pestilence/(archaic) ugly/
䬃		sa4	/variant of 颯|飒[sa4]/
䬠		fei1	/old variant of 霏[fei1]/
䬪		bo2	/variant of 餺|馎[bo2]/
䭾		tuo2	/variant of 馱|驮[tuo2]/
䯝		sui3	/variant of 髓/marrow/essence/quintessence/pith (soft interior of plant stem)/
䰟		hun2	/old variant of 魂[hun2]/
䰾		ba1	/see 䰾魚|鲃鱼[ba1 yu2]/
䲔		jing1	/old variant of 鯨|鲸[jing1]/
䳗		e2	/variant of 鵝|鹅[e2]/
䳘		e2	/variant of 鵝|鹅[e2]/
䴉		huan2	/spoonbill/ibis/family Threskiornithidae/
䴸		fu1	/variant of 麩|麸[fu1]/
䵹		zhi1	/old variant of 蜘[zhi1]/
䶊		nu:4	/old variant of 衄[nu:4]/
䶑		ti4	/variant of 嚏[ti4]/
一		yi1	/one/1/single/a (article)/as soon as/entire/whole/all/throughout/"one" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit/
丁		Ding1	/surname Ding/
丁		ding1	/fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/fourth in order/letter "D" or Roman "IV" in list "A, B, C", or "I, II, III" etc/ancient Chinese compass point: 195°/butyl/cubes (of food)/
丂		kao3	/"breath" or "sigh" component in Chinese characters/
七		qi1	/seven/7/
丄		shang4	/old variant of 上[shang4]/
