柯P		Ke1 P	/Professor Ko, nickname for Ko Wen-je 柯文哲[Ke1 Wen2 zhe2]/
牛B		niu2 bi1	/variant of 牛屄[niu2 bi1]/
裝B		zhuang1 bi1	/variant of 裝屄|装屄[zhuang1 bi1]/
阿Q		A1 Q	/Ah Q, antihero of Lu Xun's influential 1921 novella The True Story of Ah Q 阿Q正傳|阿Q正传[A1 Q Zheng4 zhuan4]/
香Q		xiang1 Q	/flavorsome and having a springy mouthfeel (Tw)/
996		jiu3 jiu3 liu4	/9am-9pm, six days a week (work schedule)/
AA制		A A zhi4	/to split the bill/to go Dutch/
AB制		A B zhi4	/to split the bill (where the male counterpart foots the larger portion of the sum)/(theater) a system where two actors take turns in acting the main role, with one actor replacing the other if either is unavailable/
ACG		A C G	/acronym for "anime, comics and games"/
A圈兒		A quan1 r5	/at symbol, @/
BP機		B P ji1	/beeper (loanword)/pager/
G弦褲		G xian2 ku4	/G-string/
K他命		k ta1 ming4	/ketamine (C13H16ClNO) (slang)/
K線圖		K xian4 tu2	/candlestick chart/
OK繃		O K beng1	/band-aid (Tw)/
OK鏡		O K Jing4	/OK Lens, orthokeratology contact lens that helps reshape the cornea in order to eliminate nearsightedness or myopia/
O型腿		O xing2 tui3	/bow legs/bow-leggedness/
PO文		po1 wen2	/(Internet slang) to post a message/
QR扣		Q R kou4	/(Tw) (loanword) QR code/
T字帳		T zi4 zhang4	/T-account (accounting)/
T字褲		T zi4 ku4	/thong (underwear)/
U型枕		U xing2 zhen3	/travel pillow/
U型池		U xing2 chi2	/(sports) vert ramp/half-pipe/
VCR		V C R	/video clip (loanword from "videocassette recorder")/
XO醬		X O jiang4	/XO sauce, a spicy seafood sauce invented in Hong Kong in the 1980s/
cos		c o s	/(Internet slang) cosplay/to cosplay/to dress up as/
mua		m u a	/(onom.) mwah (sound of a kiss)/
三K黨		San1 K dang3	/Ku Klux Klan/KKK/
事兒B		shi4 r5 B	/(coll.) fussbudget/pain in the ass/
巴比Q		ba1 bi3 Q	/(slang) BBQ/
雙11		Shuang1 Shi2 yi1	/see 光棍節|光棍节[Guang1 gun4 jie2]/
雙酚A		shuang1 fen1 A	/bisphenol A (BPA)/
502膠		wu3 ling2 er4 jiao1	/cyanoacrylate glue/
B型超聲		B xing2 chao1 sheng1	/type-B ultrasound/
Tony		t o n y	/(slang) hairdresser/
U凸內褲		U tu1 nei4 ku4	/contour pouch brief (men's underwear)/
U形轉彎		U xing2 zhuan3 wan1	/U-turn/
卡拉OK		ka3 la1 O K	/karaoke (loanword)/
哆啦A夢		Duo1 la1 A meng4	/Doraemon, Japanese manga and anime series character/
異維A酸		yi4 wei2 A suan1	/isotretinoin (used in acne treatment)/
阿Q正傳		A1 Q Zheng4 zhuan4	/The True Story of Ah Q, influential 1921 novella by Lu Xun 魯迅|鲁迅[Lu3 Xun4]/
齊B短裙		qi2 B duan3 qun2	/(slang) micro-miniskirt/
DNA鑒定		D N A jian4 ding4	/DNA test/DNA testing/
USB手指		U S B shou3 zhi3	/USB flash drive/see also 閃存盤|闪存盘[shan3 cun2 pan2]/
打call		da3 c a l l	/(slang) to cheer sb on/to show one's support/("call" is pronounced approximately like English "call")/
美國51區		Mei3 guo2 Wu3 shi2 yi1 Qu1	/Area 51, USA/
齊B小短裙		qi2 B xiao3 duan3 qun2	/(slang) micro-miniskirt/
Tony老師		t o n y lao3 shi1	/(slang) hairdresser/
USB記憶棒		U S B ji4 yi4 bang4	/USB flash drive/see also 閃存盤|闪存盘[shan3 cun2 pan2]/
21三體綜合症		er4 shi2 yi1 san1 ti3 zong1 he2 zheng4	/trisomy/Down's syndrome/
石頭、剪子、布		shi2 tou5 , jian3 zi5 , bu4	/rock-paper-scissors (hand game)/
中國製造2025		Zhong1 guo2 Zhi4 zao4 er4 ling2 er4 wu3	/Made in China 2025, strategic plan to upgrade Chinese industry especially in high-tech areas, approved by China's State Council in 2015/
